Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2017,12/2017,2017,No,227904004,Hendrickson H S,19201 Colorado Sand Dr,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.893,0.972,0.934,0.957,0.969,0.971,1,1,1,0.963,0.979,0.966,
01/2016,12/2016,2016,No,227907001,Manor H S,12600 Gregg Manor Rd,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.896,0.929,0.98,1,1,1,1,,0.767,0.926,0.963,0.897,POINT (-97.561494 30.350836)
01/2019,12/2019,2019,No,227904003,John B Connally H S,13212 N Lamar Blvd,Austin,78753,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.904,0.966,0.962,0.985,0.977,0.9,0,1,0.906,0.955,0.963,0.968,POINT (-97.675682 30.417542)
01/2016,12/2016,2016,No,227901008,Crockett H S,5601 Menchaca Rd,Austin,78745,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.954,0.957,1,0.953,0.875,,,0.906,0.945,0.944,0.962,POINT (-97.797771 30.215236)
01/2020,12/2020,2020,No,227804101,Nyos Charter School,12301 N Lamar Blvd,Austin,78753,Charter,227804,Nyos Charter School,227,Travis County,13,Austin,0.897,0.968,1,-0.01,0.95,-0.01,,,0.964,0.95,0.967,0.97,POINT (-97.67913 30.402243)
01/2018,12/2018,2018,No,227901007,Travis H S,1211 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.955,0.92,1,0.96,1,,,0.9,0.96,0.977,0.927,POINT (-97.743904 30.234768)
01/2019,12/2019,2019,No,227912001,Lago Vista H S,5185 Lohman Ford Rd,Lago Vista,78645,Public,227912,Lago Vista ISD,227,Travis County,13,Austin,0.904,0.967,,1,1,0,,,0.97,0.944,0.955,0.978,POINT (-97.979769 30.438738)
01/2019,12/2019,2019,No,227913001,Lake Travis H S,3324 Ranch Rd 620 S,Austin,78738,Public,227913,Lake Travis ISD,227,Travis County,13,Austin,0.904,0.953,0.933,1,0.96,1,1,1,0.944,0.868,0.972,0.937,POINT (-97.966855 30.33034)
01/2019,12/2019,2019,No,227820001,Kipp Austin Collegiate,8004 Cameron Rd,Austin,78754,Charter,227820,Kipp Texas Public Schools,227,Travis County,13,Austin,0.904,0.967,1,1,0.966,,,,1,0.977,0.988,0.94,POINT (-97.684775 30.335141)
01/2020,12/2020,2020,No,227904003,John B Connally H S,13212 N Lamar Blvd,Austin,78753,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.897,0.939,0.92,1,0.942,0.917,-0.01,-0.01,0.879,0.922,0.94,0.938,POINT (-97.675682 30.417542)
